"Nom_Modele","Secteur","Sous_Secteur","Type_Batiment","Type_Hauteur","Periode","Chemin_Relatif"
"CI_EDU_SchoolPrim-noVent_Small_Post1970","CI","EDU","EDU","","","CI\EDU\CI_EDU_SchoolPrim-noVent_Small_Post1970\CI_EDU_SchoolPrim-noVent_Small_Post1970.osm"
"CI_EDU_SchoolPrim-noVent_Small_post2012","CI","EDU","EDU","","post2012","CI\EDU\CI_EDU_SchoolPrim-noVent_Small_post2012\CI_EDU_SchoolPrim-noVent_Small_post2012.osm"
"CI_EDU_SchoolPrim-noVent_Small_Pre1970","CI","EDU","EDU","","","CI\EDU\CI_EDU_SchoolPrim-noVent_Small_Pre1970\CI_EDU_SchoolPrim-noVent_Small_Pre1970.osm"
"CI_EDU_SchoolPrimSec-noVent_Mid-size_Pre1970","CI","EDU","EDU","","","CI\EDU\CI_EDU_SchoolPrimSec-noVent_Mid-size_Pre1970\CI_EDU_SchoolPrimSec-noVent_Mid-size_Pre1970.osm"
"CI_EDU_SchoolPrimSec-Vent_Mid-size_Pre1970","CI","EDU","EDU","","","CI\EDU\CI_EDU_SchoolPrimSec-Vent_Mid-size_Pre1970\CI_EDU_SchoolPrimSec-Vent_Mid-size_Pre1970.osm"
"CI_EDU_SchoolSec-clim_Large_Pre1970","CI","EDU","EDU","","","CI\EDU\CI_EDU_SchoolSec-clim_Large_Pre1970\CI_EDU_SchoolSec-clim_Large_Pre1970.osm"
"CI_EDU_SchoolSec-noClim_Large_Pre1970","CI","EDU","EDU","","","CI\EDU\CI_EDU_SchoolSec-noClim_Large_Pre1970\CI_EDU_SchoolSec-noClim_Large_Pre1970.osm"
"R_MU_Apt_HR_1946-1983_rectangular","R","MU","Apt","HR","1946-1983","R\MU\Apt\HR\R_MU_Apt_HR_1946-1983_rectangular\R_MU_Apt_HR_1946-1983_rectangular.osm"
"R_MU_Apt_HR_1946-1983_Square","R","MU","Apt","HR","1946-1983","R\MU\Apt\HR\R_MU_Apt_HR_1946-1983_Square\R_MU_Apt_HR_1946-1983_Square.osm"
"R_MU_Apt_HR_1984-2010","R","MU","Apt","HR","1984-2010","R\MU\Apt\HR\R_MU_Apt_HR_1984-2010\R_MU_Apt_HR_1984-2010.osm"
"R_MU_Apt_HR_post2011","R","MU","Apt","HR","post2011","R\MU\Apt\HR\R_MU_Apt_HR_post2011\R_MU_Apt_HR_post2011.osm"
"R_MU_Apt_HR_pre1945","R","MU","Apt","HR","pre1945","R\MU\Apt\HR\R_MU_Apt_HR_pre1945\R_MU_Apt_HR_pre1945.osm"
"R_MU_Apt_MR_1946-1983","R","MU","Apt","MR","1946-1983","R\MU\Apt\MR\R_MU_Apt_MR_1946-1983\R_MU_Apt_MR_1946-1983.osm"
"R_MU_Apt_MR_1984-2010","R","MU","Apt","MR","1984-2010","R\MU\Apt\MR\R_MU_Apt_MR_1984-2010\R_MU_Apt_MR_1984-2010.osm"
"R_MU_Apt_MR_post2011_L-shaped","R","MU","Apt","MR","post2011","R\MU\Apt\MR\R_MU_Apt_MR_post2011_L-shaped\R_MU_Apt_MR_post2011_L-shaped.osm"
"R_MU_Apt_MR_post2011_rectangular","R","MU","Apt","MR","post2011","R\MU\Apt\MR\R_MU_Apt_MR_post2011_rectangular\R_MU_Apt_MR_post2011_rectangular.osm"
"R_MU_Apt_MR_pre1945","R","MU","Apt","MR","pre1945","R\MU\Apt\MR\R_MU_Apt_MR_pre1945\R_MU_Apt_MR_pre1945.osm"
"R_MU_Dup_Att-bsmt-empty_1945-1985","R","MU","Dup","","1945-1985","R\MU\Dup\R_MU_Dup_Att-bsmt-empty_1945-1985\R_MU_Dup_Att-bsmt-empty_1945-1985.osm"
"R_MU_Dup_Att-bsmt-empty_1985-2010","R","MU","Dup","","1985-2010","R\MU\Dup\R_MU_Dup_Att-bsmt-empty_1985-2010\R_MU_Dup_Att-bsmt-empty_1985-2010.osm"
"R_MU_Dup_Att-bsmt-empty_post-2010","R","MU","Dup","","post-2010","R\MU\Dup\R_MU_Dup_Att-bsmt-empty_post-2010\R_MU_Dup_Att-bsmt-empty_post-2010.osm"
"R_MU_Dup_Att-bsmt-empty_pre-1945","R","MU","Dup","","pre-1945","R\MU\Dup\R_MU_Dup_Att-bsmt-empty_pre-1945\R_MU_Dup_Att-bsmt-empty_pre-1945.osm"
"R_MU_Dup_Att-bsmt-main_1945-1985","R","MU","Dup","","1945-1985","R\MU\Dup\R_MU_Dup_Att-bsmt-main_1945-1985\R_MU_Dup_Att-bsmt-main_1945-1985.osm"
"R_MU_Dup_Att-bsmt-main_1985-2010","R","MU","Dup","","1985-2010","R\MU\Dup\R_MU_Dup_Att-bsmt-main_1985-2010\R_MU_Dup_Att-bsmt-main_1985-2010.osm"
"R_MU_Dup_Att-bsmt-main_post-2010","R","MU","Dup","","post-2010","R\MU\Dup\R_MU_Dup_Att-bsmt-main_post-2010\R_MU_Dup_Att-bsmt-main_post-2010.osm"
"R_MU_Dup_Att-bsmt-main_pre-1945","R","MU","Dup","","pre-1945","R\MU\Dup\R_MU_Dup_Att-bsmt-main_pre-1945\R_MU_Dup_Att-bsmt-main_pre-1945.osm"
"R_MU_Dup_Att-bsmt-unit_1945-1985","R","MU","Dup","","1945-1985","R\MU\Dup\R_MU_Dup_Att-bsmt-unit_1945-1985\R_MU_Dup_Att-bsmt-unit_1945-1985.osm"
"R_MU_Dup_Att-bsmt-unit_1985-2010","R","MU","Dup","","1985-2010","R\MU\Dup\R_MU_Dup_Att-bsmt-unit_1985-2010\R_MU_Dup_Att-bsmt-unit_1985-2010.osm"
"R_MU_Dup_Att-bsmt-unit_post-2010","R","MU","Dup","","post-2010","R\MU\Dup\R_MU_Dup_Att-bsmt-unit_post-2010\R_MU_Dup_Att-bsmt-unit_post-2010.osm"
"R_MU_Dup_Att-bsmt-unit_pre-1945","R","MU","Dup","","pre-1945","R\MU\Dup\R_MU_Dup_Att-bsmt-unit_pre-1945\R_MU_Dup_Att-bsmt-unit_pre-1945.osm"
"R_MU_Dup_Det-bsmt-empty_1945-1985","R","MU","Dup","","1945-1985","R\MU\Dup\R_MU_Dup_Det-bsmt-empty_1945-1985\R_MU_Dup_Det-bsmt-empty_1945-1985.osm"
"R_MU_Dup_Det-bsmt-empty_1985-2010","R","MU","Dup","","1985-2010","R\MU\Dup\R_MU_Dup_Det-bsmt-empty_1985-2010\R_MU_Dup_Det-bsmt-empty_1985-2010.osm"
"R_MU_Dup_Det-bsmt-empty_post-2010","R","MU","Dup","","post-2010","R\MU\Dup\R_MU_Dup_Det-bsmt-empty_post-2010\R_MU_Dup_Det-bsmt-empty_post-2010.osm"
"R_MU_Dup_Det-bsmt-empty_pre-1945","R","MU","Dup","","pre-1945","R\MU\Dup\R_MU_Dup_Det-bsmt-empty_pre-1945\R_MU_Dup_Det-bsmt-empty_pre-1945.osm"
"R_MU_Dup_Det-bsmt-main_1945-1985","R","MU","Dup","","1945-1985","R\MU\Dup\R_MU_Dup_Det-bsmt-main_1945-1985\R_MU_Dup_Det-bsmt-main_1945-1985.osm"
"R_MU_Dup_Det-bsmt-main_1985-2010","R","MU","Dup","","1985-2010","R\MU\Dup\R_MU_Dup_Det-bsmt-main_1985-2010\R_MU_Dup_Det-bsmt-main_1985-2010.osm"
"R_MU_Dup_Det-bsmt-main_post-2010","R","MU","Dup","","post-2010","R\MU\Dup\R_MU_Dup_Det-bsmt-main_post-2010\R_MU_Dup_Det-bsmt-main_post-2010.osm"
"R_MU_Dup_Det-bsmt-main_pre-1945","R","MU","Dup","","pre-1945","R\MU\Dup\R_MU_Dup_Det-bsmt-main_pre-1945\R_MU_Dup_Det-bsmt-main_pre-1945.osm"
"R_MU_Dup_Det-bsmt-unit_1945-1985","R","MU","Dup","","1945-1985","R\MU\Dup\R_MU_Dup_Det-bsmt-unit_1945-1985\R_MU_Dup_Det-bsmt-unit_1945-1985.osm"
"R_MU_Dup_Det-bsmt-unit_1985-2010","R","MU","Dup","","1985-2010","R\MU\Dup\R_MU_Dup_Det-bsmt-unit_1985-2010\R_MU_Dup_Det-bsmt-unit_1985-2010.osm"
"R_MU_Dup_Det-bsmt-unit_post-2010","R","MU","Dup","","post-2010","R\MU\Dup\R_MU_Dup_Det-bsmt-unit_post-2010\R_MU_Dup_Det-bsmt-unit_post-2010.osm"
"R_MU_Dup_Det-bsmt-unit_pre-1945","R","MU","Dup","","pre-1945","R\MU\Dup\R_MU_Dup_Det-bsmt-unit_pre-1945\R_MU_Dup_Det-bsmt-unit_pre-1945.osm"
"R_MU_Trip_Att-bsmt-empty_1945-1985","R","MU","Trip","","1945-1985","R\MU\Trip\R_MU_Trip_Att-bsmt-empty_1945-1985\R_MU_Trip_Att-bsmt-empty_1945-1985.osm"
"R_MU_Trip_Att-bsmt-empty_1985-2010","R","MU","Trip","","1985-2010","R\MU\Trip\R_MU_Trip_Att-bsmt-empty_1985-2010\R_MU_Trip_Att-bsmt-empty_1985-2010.osm"
"R_MU_Trip_Att-bsmt-empty_post-2010","R","MU","Trip","","post-2010","R\MU\Trip\R_MU_Trip_Att-bsmt-empty_post-2010\R_MU_Trip_Att-bsmt-empty_post-2010.osm"
"R_MU_Trip_Att-bsmt-empty_pre-1945","R","MU","Trip","","pre-1945","R\MU\Trip\R_MU_Trip_Att-bsmt-empty_pre-1945\R_MU_Trip_Att-bsmt-empty_pre-1945.osm"
"R_MU_Trip_Att-bsmt-main_1945-1985","R","MU","Trip","","1945-1985","R\MU\Trip\R_MU_Trip_Att-bsmt-main_1945-1985\R_MU_Trip_Att-bsmt-main_1945-1985.osm"
"R_MU_Trip_Att-bsmt-main_1985-2010","R","MU","Trip","","1985-2010","R\MU\Trip\R_MU_Trip_Att-bsmt-main_1985-2010\R_MU_Trip_Att-bsmt-main_1985-2010.osm"
"R_MU_Trip_Att-bsmt-main_post-2010","R","MU","Trip","","post-2010","R\MU\Trip\R_MU_Trip_Att-bsmt-main_post-2010\R_MU_Trip_Att-bsmt-main_post-2010.osm"
"R_MU_Trip_Att-bsmt-main_pre-1945","R","MU","Trip","","pre-1945","R\MU\Trip\R_MU_Trip_Att-bsmt-main_pre-1945\R_MU_Trip_Att-bsmt-main_pre-1945.osm"
"R_MU_Trip_Att-bsmt-unit_1945-1985","R","MU","Trip","","1945-1985","R\MU\Trip\R_MU_Trip_Att-bsmt-unit_1945-1985\R_MU_Trip_Att-bsmt-unit_1945-1985.osm"
"R_MU_Trip_Att-bsmt-unit_1985-2010","R","MU","Trip","","1985-2010","R\MU\Trip\R_MU_Trip_Att-bsmt-unit_1985-2010\R_MU_Trip_Att-bsmt-unit_1985-2010.osm"
"R_MU_Trip_Att-bsmt-unit_post-2010","R","MU","Trip","","post-2010","R\MU\Trip\R_MU_Trip_Att-bsmt-unit_post-2010\R_MU_Trip_Att-bsmt-unit_post-2010.osm"
"R_MU_Trip_Att-bsmt-unit_pre-1945","R","MU","Trip","","pre-1945","R\MU\Trip\R_MU_Trip_Att-bsmt-unit_pre-1945\R_MU_Trip_Att-bsmt-unit_pre-1945.osm"
"R_MU_Trip_Det-bsmt-empty_1945-1985","R","MU","Trip","","1945-1985","R\MU\Trip\R_MU_Trip_Det-bsmt-empty_1945-1985\R_MU_Trip_Det-bsmt-empty_1945-1985.osm"
"R_MU_Trip_Det-bsmt-empty_1985-2010","R","MU","Trip","","1985-2010","R\MU\Trip\R_MU_Trip_Det-bsmt-empty_1985-2010\R_MU_Trip_Det-bsmt-empty_1985-2010.osm"
"R_MU_Trip_Det-bsmt-empty_post-2010","R","MU","Trip","","post-2010","R\MU\Trip\R_MU_Trip_Det-bsmt-empty_post-2010\R_MU_Trip_Det-bsmt-empty_post-2010.osm"
